"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Get courses","LMS service","Sun Sep 14 16:43:13 GMT 2025","passed","Sun Sep 14 16:43:13 GMT 2025","Get entities","Courses","",""
"","297","Create course","LMS service","Sun Sep 14 16:43:14 GMT 2025","passed","Sun Sep 14 16:43:14 GMT 2025","Create entity","Courses","",""
"","266","Get file with incorrect file id","tests.files","Sun Sep 14 16:43:19 GMT 2025","passed","Sun Sep 14 16:43:19 GMT 2025","Validate entity","test_files","",""
"","21","Delete file","tests.files","Sun Sep 14 16:43:18 GMT 2025","passed","Sun Sep 14 16:43:18 GMT 2025","Delete entity","test_files","",""
"","18","Get exercise","LMS service","Sun Sep 14 16:43:16 GMT 2025","passed","Sun Sep 14 16:43:16 GMT 2025","Get entity","Exercises","",""
"","300","Update course","LMS service","Sun Sep 14 16:43:13 GMT 2025","passed","Sun Sep 14 16:43:13 GMT 2025","Update entity","Courses","",""
"","270","Create file with empty filename","tests.files","Sun Sep 14 16:43:18 GMT 2025","passed","Sun Sep 14 16:43:18 GMT 2025","Validate entity","test_files","",""
"","21","Get exercises","LMS service","Sun Sep 14 16:43:17 GMT 2025","passed","Sun Sep 14 16:43:17 GMT 2025","Get entities","Exercises","",""
"","545","Create user","LMS service","Sun Sep 14 16:43:19 GMT 2025","passed","Sun Sep 14 16:43:19 GMT 2025","Create entity","Users","",""
"","556","Create user","LMS service","Sun Sep 14 16:43:20 GMT 2025","passed","Sun Sep 14 16:43:20 GMT 2025","Create entity","Users","",""
"","265","Create file with empty directory","tests.files","Sun Sep 14 16:43:19 GMT 2025","passed","Sun Sep 14 16:43:19 GMT 2025","Validate entity","test_files","",""
"","552","Login with correct email and password","LMS service","Sun Sep 14 16:43:12 GMT 2025","passed","Sun Sep 14 16:43:13 GMT 2025","Login","Authentication","",""
"","290","Create user","LMS service","Sun Sep 14 16:43:20 GMT 2025","passed","Sun Sep 14 16:43:20 GMT 2025","Create entity","Users","",""
"","289","Delete exercise","LMS service","Sun Sep 14 16:43:17 GMT 2025","passed","Sun Sep 14 16:43:17 GMT 2025","Delete entity","Exercises","",""
"","285","Update exercise","LMS service","Sun Sep 14 16:43:15 GMT 2025","passed","Sun Sep 14 16:43:16 GMT 2025","Update entity","Exercises","",""
"","15","Get user me","LMS service","Sun Sep 14 16:43:21 GMT 2025","passed","Sun Sep 14 16:43:21 GMT 2025","Get entity","Users","",""
"","293","Create exercise","LMS service","Sun Sep 14 16:43:14 GMT 2025","passed","Sun Sep 14 16:43:15 GMT 2025","Create entity","Exercises","",""
