"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Create user","LMS service","Thu Sep 25 09:57:13 GMT 2025","passed","Thu Sep 25 09:57:14 GMT 2025","Create entity","Users","",""
"","265","Create file with empty filename","tests.files","Thu Sep 25 09:57:12 GMT 2025","passed","Thu Sep 25 09:57:12 GMT 2025","Validate entity","test_files","",""
"","286","Login with correct email and password","LMS service","Thu Sep 25 09:57:06 GMT 2025","passed","Thu Sep 25 09:57:06 GMT 2025","Login","Authentication","",""
"","21","Delete file","tests.files","Thu Sep 25 09:57:12 GMT 2025","passed","Thu Sep 25 09:57:12 GMT 2025","Delete entity","test_files","",""
"","292","Update exercise","LMS service","Thu Sep 25 09:57:09 GMT 2025","passed","Thu Sep 25 09:57:09 GMT 2025","Update entity","Exercises","",""
"","302","Update course","LMS service","Thu Sep 25 09:57:07 GMT 2025","passed","Thu Sep 25 09:57:07 GMT 2025","Update entity","Courses","",""
"","268","Get file with incorrect file id","tests.files","Thu Sep 25 09:57:13 GMT 2025","passed","Thu Sep 25 09:57:13 GMT 2025","Validate entity","test_files","",""
"","18","Get exercises","LMS service","Thu Sep 25 09:57:11 GMT 2025","passed","Thu Sep 25 09:57:11 GMT 2025","Get entities","Exercises","",""
"","262","Create file with empty directory","tests.files","Thu Sep 25 09:57:13 GMT 2025","passed","Thu Sep 25 09:57:13 GMT 2025","Validate entity","test_files","",""
"","544","Create user","LMS service","Thu Sep 25 09:57:13 GMT 2025","passed","Thu Sep 25 09:57:13 GMT 2025","Create entity","Users","",""
"","17","Get exercise","LMS service","Thu Sep 25 09:57:10 GMT 2025","passed","Thu Sep 25 09:57:10 GMT 2025","Get entity","Exercises","",""
"","27","Create exercise","LMS service","Thu Sep 25 09:57:09 GMT 2025","passed","Thu Sep 25 09:57:09 GMT 2025","Create entity","Exercises","",""
"","28","Get courses","LMS service","Thu Sep 25 09:57:07 GMT 2025","passed","Thu Sep 25 09:57:07 GMT 2025","Get entities","Courses","",""
"","288","Delete exercise","LMS service","Thu Sep 25 09:57:10 GMT 2025","passed","Thu Sep 25 09:57:11 GMT 2025","Delete entity","Exercises","",""
"","14","Get user me","LMS service","Thu Sep 25 09:57:15 GMT 2025","passed","Thu Sep 25 09:57:15 GMT 2025","Get entity","Users","",""
"","557","Create user","LMS service","Thu Sep 25 09:57:13 GMT 2025","passed","Thu Sep 25 09:57:14 GMT 2025","Create entity","Users","",""
"","34","Create course","LMS service","Thu Sep 25 09:57:08 GMT 2025","passed","Thu Sep 25 09:57:08 GMT 2025","Create entity","Courses","",""
