"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","Create exercise","LMS service","Sun Sep 21 10:13:53 GMT 2025","passed","Sun Sep 21 10:13:54 GMT 2025","Create entity","Exercises","",""
"","307","Create course","LMS service","Sun Sep 21 10:13:53 GMT 2025","passed","Sun Sep 21 10:13:53 GMT 2025","Create entity","Courses","",""
"","290","Create user","LMS service","Sun Sep 21 10:13:58 GMT 2025","passed","Sun Sep 21 10:13:59 GMT 2025","Create entity","Users","",""
"","18","Get exercises","LMS service","Sun Sep 21 10:13:56 GMT 2025","passed","Sun Sep 21 10:13:56 GMT 2025","Get entities","Exercises","",""
"","301","Update course","LMS service","Sun Sep 21 10:13:52 GMT 2025","passed","Sun Sep 21 10:13:52 GMT 2025","Update entity","Courses","",""
"","267","Create file with empty directory","tests.files","Sun Sep 21 10:13:58 GMT 2025","passed","Sun Sep 21 10:13:58 GMT 2025","Validate entity","test_files","",""
"","289","Delete exercise","LMS service","Sun Sep 21 10:13:55 GMT 2025","passed","Sun Sep 21 10:13:56 GMT 2025","Delete entity","Exercises","",""
"","28","Get courses","LMS service","Sun Sep 21 10:13:52 GMT 2025","passed","Sun Sep 21 10:13:52 GMT 2025","Get entities","Courses","",""
"","550","Login with correct email and password","LMS service","Sun Sep 21 10:13:51 GMT 2025","passed","Sun Sep 21 10:13:51 GMT 2025","Login","Authentication","",""
"","290","Update exercise","LMS service","Sun Sep 21 10:13:54 GMT 2025","passed","Sun Sep 21 10:13:54 GMT 2025","Update entity","Exercises","",""
"","18","Get user me","LMS service","Sun Sep 21 10:14:00 GMT 2025","passed","Sun Sep 21 10:14:00 GMT 2025","Get entity","Users","",""
"","265","Create file with empty filename","tests.files","Sun Sep 21 10:13:57 GMT 2025","passed","Sun Sep 21 10:13:57 GMT 2025","Validate entity","test_files","",""
"","23","Delete file","tests.files","Sun Sep 21 10:13:57 GMT 2025","passed","Sun Sep 21 10:13:57 GMT 2025","Delete entity","test_files","",""
"","17","Get exercise","LMS service","Sun Sep 21 10:13:55 GMT 2025","passed","Sun Sep 21 10:13:55 GMT 2025","Get entity","Exercises","",""
"","544","Create user","LMS service","Sun Sep 21 10:13:58 GMT 2025","passed","Sun Sep 21 10:13:58 GMT 2025","Create entity","Users","",""
"","261","Get file with incorrect file id","tests.files","Sun Sep 21 10:13:58 GMT 2025","passed","Sun Sep 21 10:13:58 GMT 2025","Validate entity","test_files","",""
"","556","Create user","LMS service","Sun Sep 21 10:13:58 GMT 2025","passed","Sun Sep 21 10:13:59 GMT 2025","Create entity","Users","",""
